累積,,,,,,,,,,,,
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,    待分配股票股利,  庫藏股票帳面值,  營業收入毛額,營業收入淨額,營業毛利,
2317 鴻海,2023/12,4,Y,12,NTD,"3,939,788,977",0,"-15,194","6,162,221,359","6,162,221,359","387,947,469",
2330 台積電,2023/12,4,Y,12,NTD,"5,532,371,215",0,0,"2,161,735,841","2,161,735,841","1,175,110,628",
2317 鴻海,2023/09,3,Y,09,NTD,"4,063,389,195",0,"-15,194","4,310,149,182","4,310,149,182","274,665,136",
2330 台積電,2023/09,3,Y,09,NTD,"5,484,556,381",0,0,"1,536,206,985","1,536,206,985","843,342,703",
2317 鴻海,2023/06,2,Y,06,NTD,"3,762,581,179",0,"-15,194","2,766,985,529","2,766,985,529","171,911,639",
2330 台積電,2023/06,2,Y,06,NTD,"5,149,465,045",0,0,"989,474,227","989,474,227","546,700,239",
2317 鴻海,2023/03,1,Y,03,NTD,"3,659,319,249",0,"-15,194","1,462,437,334","1,462,437,334","88,334,455",
2330 台積電,2023/03,1,Y,03,NTD,"5,045,844,348",0,0,"508,632,973","508,632,973","286,500,392",
,,,,,,,,,,,,
單季,,,,,,,,,,,,
公司,年/月,季別,合併(Y/N),單季(Q)/單半年(H),月份,幣別,資產總額,    待分配股票股利,  庫藏股票帳面值,  營業收入毛額,營業收入淨額,營業毛利
2330 台積電,2023/12,4,Y,Q,12,NTD,"5,532,371,215",0,0,"625,528,856","625,528,856","331,767,925"
2317 鴻海,2023/12,4,Y,Q,12,NTD,"3,939,788,977",0,"-15,194","1,852,072,177","1,852,072,177","113,282,333"
2330 台積電,2023/09,3,Y,Q,09,NTD,"5,484,556,381",0,0,"546,732,758","546,732,758","296,642,464"
2317 鴻海,2023/09,3,Y,Q,09,NTD,"4,063,389,195",0,"-15,194","1,543,163,653","1,543,163,653","102,753,497"
2330 台積電,2023/06,2,Y,Q,06,NTD,"5,149,465,045",0,0,"480,841,254","480,841,254","260,199,847"
2317 鴻海,2023/06,2,Y,Q,06,NTD,"3,762,581,179",0,"-15,194","1,304,548,195","1,304,548,195","83,577,184"
2330 台積電,2023/03,1,Y,Q,03,NTD,"5,045,844,348",0,0,"508,632,973","508,632,973","286,500,392"
2317 鴻海,2023/03,1,Y,Q,03,NTD,"3,659,319,249",0,"-15,194","1,462,437,334","1,462,437,334","88,334,455"
